Arquivo,Almoxarifado_Origem_Arquivo,Grupo,Data,Id_Produto,Descricao,Sistema,Contagem,Divergencia_Qtd,Valor,Obs,Prejuizo,Hipotese_Sugerida
Movimentados - Geral 01.06.xlsm,Geral,Produto em Processo,2026-06-01 00:00:00,0020303003,Nibs de Cacau - Mocajuba (PA),7.05,7.25,0.20000000000000018,-9.816400000000009,Sobra de 200g - Conffirmar,Não,Outros / não categorizado
Movimentados - Geral 02.07.xlsm,Geral,Embalagem,2026-07-01 00:00:00,0190213096,Caixa Correio Mágio 26x17x09,360,332,-28,67.2,Baixa Por Consumo,Não,Baixa por consumo (processo semanal)
Movimentados - Geral 02.07.xlsm,Geral,Embalagem,2026-07-01 00:00:00,0190213119,Sacola de Papel Tamanho G,298,194,-104,581.36,Baixa Por Consumo,Não,Baixa por consumo (processo semanal)
Movimentados - Geral 02.07.xlsm,Geral,Embalagem,2026-07-01 00:00:00,0190213133,Berço interno caixa 14 bombons,1000,1000,0,0,Erro de Contagem,Não,Recontagem necessária
Movimentados - Geral 02.07.xlsm,Geral,Materia Prima,2026-07-01 00:00:00,0140106806,Açúcar Mascavo,3,18,15,-258.177,Ajustar no recebimento.,Não,Ajuste de sistema pendente
Movimentados - Geral 02.07.xlsm,Geral,Materia Prima,2026-07-01 00:00:00,9990111006,Manteiga de Leite,5.2,5.2,0.0,0,Recebimento Errado - cancelar,,Outros / não categorizado
Movimentados - Geral 02.07.xlsm,Geral,Materia Prima,2026-07-01 00:00:00,9990111058,Tapereba Liofilizado,0.85,0.7,-0.15000000000000002,155.86200000000002,Item ajustado errado no inventário,Não,Ajuste de sistema pendente
Movimentados - Geral 02.07.xlsm,Geral,Materia Prima,2026-07-01 00:00:00,9990111059,Cupuaçu Liofilizado,1.45,0.95,-0.5,385.72,Transf.Pendente - Qualidade,Não,Transferência pendente
Movimentados - Geral 02.07.xlsm,Geral,Produto Acabado,2026-07-01 00:00:00,05104022,Trufas Nativas Pistache 20g,87,90,3,-2.9313,Transf.Pendente - Ativação x Estoque,Não,Transferência pendente
Movimentados - Geral 02.07.xlsm,Geral,Produto em Processo,2026-07-01 00:00:00,9990311040,Colagem praliné para lua cheia,59.235,59.235,0.0,0,Erro de Contagem,,Recontagem necessária
Movimentados - Geral 02.07.xlsm,Geral,Produto em Processo,2026-07-01 00:00:00,0260303001,Nibs de Cacau Moju,47.575,48.23,0.654999999999994,-30.116899999999724,Verificar na Fabrica,Não,Outros / não categorizado
Movimentados - Geral 03.07.xlsm,Geral,Embalagem,2026-07-02 00:00:00,0190213105,Sacolas de papel tamanho P (24A x 16L),493,483,-10,22.696,baixa opercacional semanal - consumo,Não,Baixa por consumo (processo semanal)
Movimentados - Geral 04.05.xlsm,Geral,Embalagem,2026-05-04 00:00:00,0190213063,Caixa Biscoitos luva choco,209,210,1,-1.835,Sobra,Não,Outros / não categorizado
Movimentados - Geral 04.05.xlsm,Geral,Embalagem,2026-05-04 00:00:00,0190213062,Caixa Biscoitos Fundo choco,110,110,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 04.05.xlsm,Geral,Embalagem,2026-05-04 00:00:00,0190213098,Caixa Esfirra N2,94,50,-44,99.7128,Erro de contagem no inventário,Não,Recontagem necessária
Movimentados - Geral 04.05.xlsm,Geral,Materia Prima,2026-05-04 00:00:00,9990111021,DEXTROSE,1.308,1.25,-0.05800000000000005,2.190080000000002,Falha no inventário,Sim,Falha de inventário
Movimentados - Geral 04.05.xlsm,Geral,Materia Prima,2026-05-04 00:00:00,9990111048,Café organico em graos,15,15,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 04.05.xlsm,Geral,Materia Prima,2026-05-04 00:00:00,0070301006,Amêndoa de Cacau Seca Aprovada - Yanomam,0,0,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 04.05.xlsm,Geral,Materia Prima,2026-05-04 00:00:00,0050108008,Biscoito de castanha do Pará,0,0,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 04.05.xlsm,Geral,Materia Prima,2026-05-04 00:00:00,9990111013,Polpa Cupuaçu,4.2,3.8,-0.40000000000000036,12.395120000000011,Falha no inventário,Sim,Falha de inventário
Movimentados - Geral 04.05.xlsm,Geral,Materia Prima,2026-05-04 00:00:00,9990111047,Leite integral,8,8,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 04.05.xlsm,Geral,Mercadoria de Revenda,2026-05-04 00:00:00,05400001,Agua sem Gas em Lata 310ml,57,57,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004159,Ovo Marajoara - Recheio de Maracujá 420g,0,0,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004006,MAGIO PF Vale do Jari 65% 60g,307,307,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004149,Caixa de Bombons G (30 bombons),26,26,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05104020,Trufas Nativas de Chocolate Intenso  20G,0,0,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004058,Barra ES Intenso Praliné de Avelã 80g,254,254,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004056,Barra ES Leite Praliné de Pistache 80g,472,438,-34,177.3508,Pós inventário em aberto,Não,Outros / não categorizado
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004097,Barra ES Leite com Avelã e Maracujá 80g,240,239,-1,4.0003,Falha no inventário,Sim,Falha de inventário
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004017,Língua de Onça Leit Praliné Flowpack 11g,894,894,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004016,MAGIO Lg de Onça Lt Praliné Avelã Cx80g,1490,1485,-5,35.642,Conferir o LT,Não,Outros / não categorizado
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004007,MAGIO PF Sakaguchi 78% 60g,498,509,11,-75.3797,Conferir o LT,Não,Outros / não categorizado
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004043,Formigueiro Caramelo de Maracujá Cx 80g,24,24,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004010,MAGIO PF Mocajuba 74% 60g,237,242,5,-32.7995,Conferir o LT,Não,Outros / não categorizado
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004009,MAGIO PF Xiba 81% 60g,625,622,-3,19.6752,Falha no inventário,Sim,Falha de inventário
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004015,MAGIO Língua de Onça ao Leite Cx80g,1497,1194,-303,1976.1660000000002,Pós inventário em aberto,Não,Outros / não categorizado
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004014,MAGIO Língua de Onça Intso Praliné Cx80g,1183,1025,-158,1115.4168,Pós inventário em aberto,Não,Outros / não categorizado
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004140,Língua de Onça Intenso Flowpack 11g,92,92,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004139,Língua de Onça Leite Flowpack 11g,1154,1152,-2,1.9534,Falha no inventário,Sim,Falha de inventário
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004143,Barra ES Chocolate Lt Pistache 29g,57,57,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004142,Barra ES Chocolate Lt Maracujá 29g,44,44,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004138,Língua de Onça Int Praliné Flowpack 11g,95,68,-27,29.527199999999997,Falha no inventário,Sim,Falha de inventário
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004047,Biscoito Cast. Pará Chocolate 60% 150g,20,20,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004048,Biscoito Cast. Pará Cupulate 70% 150g,21,21,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 04.05.xlsm,Geral,Produto Acabado,2026-05-04 00:00:00,05004102,Lua Cheia Minis Chocolate ao Leite 100g,27,27,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 04.05.xlsm,Geral,Produto em Processo,2026-05-04 00:00:00,0050305009,Massa de Chocolate - Chocolate 60% - Sak,0,0,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 04.05.xlsm,Geral,Produto em Processo,2026-05-04 00:00:00,9990111046,Água com Gás - Acquamix,15,15,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 05.05.xlsm,Geral,Embalagem,2026-05-05 00:00:00,0190213106,Sacolas de papel tamanho M (32A x 23L),90,110,20,-62.800000000000004,Duplicidade De Transf. Para ativação - OK,Não,Outros / não categorizado
Movimentados - Geral 05.05.xlsm,Geral,Embalagem,2026-05-05 00:00:00,0190213072,Caixa formigueiro Maracuja,44,41,-3,45.599999999999994,Ajuste de Lote - OK,Não,Erro de lote (necessita ajuste)
Movimentados - Geral 05.05.xlsm,Geral,Materia Prima,2026-05-05 00:00:00,0140106805,Açúcar refinado,185,170,-15,45.879000000000005,Faltava Transferência - OK,Não,Outros / não categorizado
Movimentados - Geral 05.05.xlsm,Geral,Materia Prima,2026-05-05 00:00:00,03001001,Leite em Pó integral,140,156.8,16.80000000000001,-427.0560000000003,Ajuste de Lote,Não,Erro de lote (necessita ajuste)
Movimentados - Geral 05.05.xlsm,Geral,Produto Acabado,2026-05-05 00:00:00,05004014,MAGIO Língua de Onça Intso Praliné Cx80g,1153,1095,-58,409.4568,Verificando Pós inventário,Não,Outros / não categorizado
Movimentados - Geral 05.05.xlsm,Geral,Produto Acabado,2026-05-05 00:00:00,05004016,MAGIO Lg de Onça Lt Praliné Avelã Cx80g,1460,1471,11,-78.5356,Confirmar Lote - PENDENTE,Não,Outros / não categorizado
Movimentados - Geral 05.05.xlsm,Geral,Produto Acabado,2026-05-05 00:00:00,05004015,MAGIO Língua de Onça ao Leite Cx80g,1467,1185,-282,1844.1672,Verificando Pós inventário,Não,Outros / não categorizado
Movimentados - Geral 05.05.xlsm,Geral,Produto Acabado,2026-05-05 00:00:00,05004056,Barra ES Leite Praliné de Pistache 80g,422,388,-34,177.6874,Verificando Pós inventário,Não,Outros / não categorizado
Movimentados - Geral 05.05.xlsm,Geral,Produto Acabado,2026-05-05 00:00:00,05004150,Caixa para 4 bombons,20,25,5,0,Ajuste de Lote - OK,Não,Erro de lote (necessita ajuste)
Movimentados - Geral 05.05.xlsm,Geral,Produto Acabado,2026-05-05 00:00:00,05004148,Caixa de Bombons M (14 bombons),76,79,3,-61.026599999999995,Duplicidade De Transf. Para ativação - OK,Não,Outros / não categorizado
Movimentados - Geral 06.05.xlsm,Geral,Embalagem,2026-05-06 00:00:00,0190213105,Sacolas de papel tamanho P (24A x 16L),0,0,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 06.05.xlsm,Geral,Embalagem,2026-05-06 00:00:00,0190213092,Flowpack LO Intenso,1500,1500,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 06.05.xlsm,Geral,Embalagem,2026-05-06 00:00:00,0190213124,Forminha para Bombons Caixas,8000,8000,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 06.05.xlsm,Geral,Embalagem,2026-05-06 00:00:00,0190213106,Sacolas de papel tamanho M (32A x 23L),80,80,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 06.05.xlsm,Geral,Embalagem,2026-05-06 00:00:00,190213119,Sacola de Papel Tamanho G,844,45,-799,446.11,Verificar Qunatidade no BOX  - Arthur Recontar  - PENDENTE,Não,Recontagem necessária
Movimentados - Geral 06.05.xlsm,Geral,Embalagem,2026-05-06 00:00:00,019021424,CARTÃO QR,14702,10800,-3902,697.2874,Itens Consumidos no Processo sem Baixa - ok,Sim,Outros / não categorizado
Movimentados - Geral 06.05.xlsm,Geral,Embalagem,2026-05-06 00:00:00,0190213138,Folder informação nutricional SSAL,495,495,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 06.05.xlsm,Geral,Embalagem,2026-05-06 00:00:00,190213131,Caixa SSAL SIMPLES,370,0,-370,0,Caixa não recebemos ainda - PENDENTE,Não,Outros / não categorizado
Movimentados - Geral 06.05.xlsm,Geral,Materia Prima,2026-05-06 00:00:00,0140106805,Açúcar refinado,170,170,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 06.05.xlsm,Geral,Materia Prima,2026-05-06 00:00:00,9990111023,Sorbitol em Pó,1,1,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 06.05.xlsm,Geral,Materia Prima,2026-05-06 00:00:00,0140106004,Açúcar Demerara,19,20,1,-3.362,Ajustar estoque - ok,Não,Ajuste de sistema pendente
Movimentados - Geral 06.05.xlsm,Geral,Materia Prima,2026-05-06 00:00:00,03001001,Leite em Pó integral,156.8,156.8,0.0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 06.05.xlsm,Geral,Materia Prima,2026-05-06 00:00:00,9990111061,Queijo coalho,0.604,0,-0.604,0,Material já consumido - Erro na Nfe de entrada - ok,Não,Outros / não categorizado
Movimentados - Geral 06.05.xlsm,Geral,Produto Acabado,2026-05-06 00:00:00,05004015,MAGIO Língua de Onça ao Leite Cx80g,1297,1185,-112,729.568,Em aberto - Arthur Validando Faturamento - PENDENTE,Não,Pendência de faturamento
Movimentados - Geral 06.05.xlsm,Geral,Produto Acabado,2026-05-06 00:00:00,05104033,Formigueiro Caramelo de Maracujá 16g,51,50,-1,0.4634,1 unidade Sumiu no Recebimento - ok,Sim,Perda não identificada (possível furto)
Movimentados - Geral 06.05.xlsm,Geral,Produto Acabado,2026-05-06 00:00:00,05004149,Caixa de Bombons G (30 bombons),16,16,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 06.05.xlsm,Geral,Produto Acabado,2026-05-06 00:00:00,05104121,Poltrona Ilustre,0,0,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 06.05.xlsm,Geral,Produto Acabado,2026-05-06 00:00:00,05004048,Biscoito Cast. Pará Cupulate 70% 150g,0,0,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 06.05.xlsm,Geral,Produto Acabado,2026-05-06 00:00:00,05004148,Caixa de Bombons M (14 bombons),69,69,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 06.05.xlsm,Geral,Produto em Processo,2026-05-06 00:00:00,0260303001,Nibs de Cacau Moju,25.2,25.5,0.3000000000000007,-13.794000000000032,Ajustar estoque - ok,Não,Ajuste de sistema pendente
Movimentados - Geral 06.05.xlsm,Geral,Produto em Processo,2026-05-06 00:00:00,0050304004,Liquor de Cacau - Sakaguchi (PA),119,90,-29,1467.4,Em aberto - Arthur Validar Ultima Entrada NF 1774 - PENDENTE,Não,Outros / não categorizado
Movimentados - Geral 06.05.xlsm,Geral,Produto em Processo,2026-05-06 00:00:00,9990111046,Água com Gás - Acquamix,9,9,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 07.05.xlsm,Geral,Embalagem,2026-05-07 00:00:00,0190213133,Berço interno caixa 14 bombons,0,0,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 07.05.xlsm,Geral,Embalagem,2026-05-07 00:00:00,0190213105,Sacolas de papel tamanho P (24A x 16L),770,770,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 07.05.xlsm,Geral,Embalagem,2026-05-07 00:00:00,190213131,Caixa SSAL SIMPLES,400,0,-400,0,Produto com o fornecedor. - RECEBIMENTO PENDENTE,Não,Outros / não categorizado
Movimentados - Geral 07.05.xlsm,Geral,Embalagem,2026-05-07 00:00:00,0190213169,Caixa B2B 4 Bombons,410,372,-38,0,Ajuste Pós Inventário - ok,Sim,Ajuste de sistema pendente
Movimentados - Geral 07.05.xlsm,Geral,Embalagem,2026-05-07 00:00:00,0190213130,Berço Caixa 14 Bombons,0,0,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 07.05.xlsm,Geral,Embalagem,2026-05-07 00:00:00,019021424,CARTÃO QR,11871,11871,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 07.05.xlsm,Geral,Embalagem,2026-05-07 00:00:00,0190213091,Flowpack LO Leite c/ Praliné,1800,1800,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 07.05.xlsm,Geral,Embalagem,2026-05-07 00:00:00,190213106,Sacolas de papel tamanho M (32A x 23L),480,200,-280,0,200 unidades aguardando tranf para box,Não,Outros / não categorizado
Movimentados - Geral 07.05.xlsm,Geral,Embalagem,2026-05-07 00:00:00,0190213088,Caixa cartonada rígida  18x12x4 azul M,40,40,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 07.05.xlsm,Geral,Materia Prima,2026-05-07 00:00:00,9990111048,Café organico em graos,11,11,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 07.05.xlsm,Geral,Materia Prima,2026-05-07 00:00:00,9990111058,Tapereba Liofilizado,1.05,1.05,0.0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 07.05.xlsm,Geral,Materia Prima,2026-05-07 00:00:00,9990111059,Cupuaçu Liofilizado,1.2,1.15,-0.050000000000000044,38.900000000000034,Ajuste Pós Inventário - ok,Sim,Ajuste de sistema pendente
Movimentados - Geral 07.05.xlsm,Geral,Mercadoria de Revenda,2026-05-07 00:00:00,05400001,Agua sem Gas em Lata 310ml,45,105,60,-1215.6000000000001,Entrada de Nfe Errada - Cancelar e dar entrada novamente,Não,Erro fiscal (NF cancelada)
Movimentados - Geral 07.05.xlsm,Geral,Mercadoria de Revenda,2026-05-07 00:00:00,05400002,agua com Gas em Lata 310ml,18,78,60,-1155.6000000000001,Entrada de Nfe Errada - Cancelar e dar entrada novamente,Não,Erro fiscal (NF cancelada)
Movimentados - Geral 07.05.xlsm,Geral,Outros Insumos,2026-05-07 00:00:00,5400009,Pão de queijo da canastra 40gr,500,460,-40,0,Entrada de Nfe corrigida e transferida 40 unidades pra Loja - Ok,Não,Outros / não categorizado
Movimentados - Geral 07.05.xlsm,Geral,Produto Acabado,2026-05-07 00:00:00,05004097,Barra ES Leite com Avelã e Maracujá 80g,189,189,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 07.05.xlsm,Geral,Produto Acabado,2026-05-07 00:00:00,05004007,MAGIO PF Sakaguchi 78% 60g,497,508,11,-75.3797,Verificar Lotes para Ajuste,Não,Erro de lote (necessita ajuste)
Movimentados - Geral 07.05.xlsm,Geral,Produto Acabado,2026-05-07 00:00:00,05004003,MAGIO PF Sakaguchi ao Leite 41% 60g,775,783,8,-46.5776,Verificar Lotes para Ajuste,Não,Erro de lote (necessita ajuste)
Movimentados - Geral 07.05.xlsm,Geral,Produto Acabado,2026-05-07 00:00:00,05104077,Biscoito Puxuri Chocolate - Unitário,0,0,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 07.05.xlsm,Geral,Produto Acabado,2026-05-07 00:00:00,05004006,MAGIO PF Vale do Jari 65% 60g,306,306,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 07.05.xlsm,Geral,Produto Acabado,2026-05-07 00:00:00,05004005,MAGIO PF Bom Jardim 63% 60g,111,111,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 07.05.xlsm,Geral,Produto Acabado,2026-05-07 00:00:00,05004057,Barra ES ao Leite Praliné de Avelã 80g,199,199,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 07.05.xlsm,Geral,Produto Acabado,2026-05-07 00:00:00,05004165,Trio de Mini Ovos 75g,92,92,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 07.05.xlsm,Geral,Produto Acabado,2026-05-07 00:00:00,05004161,Ovo Marajoara - Recheio de Cupuaçu 420g,2,2,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 07.05.xlsm,Geral,Produto Acabado,2026-05-07 00:00:00,05004148,Caixa de Bombons M (14 bombons),59,44,-15,302.77049999999997,Recontar - Foi enviado Para Ativação?,Não,Recontagem necessária
Movimentados - Geral 07.05.xlsm,Geral,Produto Acabado,2026-05-07 00:00:00,05004150,Caixa para 4 bombons,5,5,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 07.05.xlsm,Geral,Produto Acabado,2026-05-07 00:00:00,05004149,Caixa de Bombons G (30 bombons),6,3,-3,164.71859999999998,Recontar - Foi enviado Para Ativação?,Não,Recontagem necessária
Movimentados - Geral 07.05.xlsm,Geral,Produto Acabado,2026-05-07 00:00:00,05004047,Biscoito Cast. Pará Chocolate 60% 150g,6,6,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 07.05.xlsm,Geral,Produto Acabado,2026-05-07 00:00:00,05004056,Barra ES Leite Praliné de Pistache 80g,421,387,-34,176.8374,Verificar Lotes para Ajuste,Não,Erro de lote (necessita ajuste)
Movimentados - Geral 07.05.xlsm,Geral,Produto Acabado,2026-05-07 00:00:00,05004102,Lua Cheia Minis Chocolate ao Leite 100g,6,6,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 07.05.xlsm,Geral,Produto Acabado,2026-05-07 00:00:00,05004139,Língua de Onça Leite Flowpack 11g,1130,1080,-50,48.78,Verificar Lotes para Ajuste,Não,Erro de lote (necessita ajuste)
Movimentados - Geral 07.05.xlsm,Geral,Produto Acabado,2026-05-07 00:00:00,05004138,Língua de Onça Int Praliné Flowpack 11g,90,64,-26,28.3972,Verificar Lotes para Ajuste,Não,Erro de lote (necessita ajuste)
Movimentados - Geral 07.07.xlsm,Geral,Embalagem,2026-07-06 00:00:00,01902120371,luva caixa 4 bombons P,241,220,-21,0,Faturamento pendente de bombons - Em Produção,Não,Produção em andamento (OP não encerrada)
Movimentados - Geral 07.07.xlsm,Geral,Embalagem,2026-07-06 00:00:00,01902120370,Embalagem caixa 4 bombons P,239,219,-20,0,Faturamento pendente de bombons - Em Produção,Não,Produção em andamento (OP não encerrada)
Movimentados - Geral 07.07.xlsm,Geral,Produto Acabado,2026-07-06 00:00:00,05104022,Trufas Nativas Pistache 20g,40,40,0,0,Degustação,Não,Outros / não categorizado
Movimentados - Geral 08.05.xlsm,Geral,Embalagem,2026-05-08 00:00:00,0190213132,Envelope SSAL,375,3,-372,5580,"Restante das unidades com fornecedor, Nf dada entrada sem o recebimento.",Não,Outros / não categorizado
Movimentados - Geral 08.05.xlsm,Geral,Embalagem,2026-05-08 00:00:00,0190213152,Candy Pad Caixa Simples SSAL,1774,76,-1698,5026.08,Cancelamento NF 2801,Não,Erro fiscal (NF cancelada)
Movimentados - Geral 08.05.xlsm,Geral,Embalagem,2026-05-08 00:00:00,0190213119,Sacola de Papel Tamanho G,834,32,-802,4483.18,Unidades faltantes no box 1,Não,Outros / não categorizado
Movimentados - Geral 08.05.xlsm,Geral,Embalagem,2026-05-08 00:00:00,0190213169,Caixa B2B 4 Bombons,372,390,18,0,LEVANTAR LOTES PARA AJUSTE,,Erro de lote (necessita ajuste)
Movimentados - Geral 08.05.xlsm,Geral,Materia Prima,2026-05-08 00:00:00,9990111042,Xerem de Castanha de Caju,13.394,13.318,-0.07600000000000051,4.552400000000031,PESAR NOVAMENTE,,Outros / não categorizado
Movimentados - Geral 08.05.xlsm,Geral,Produto Acabado,2026-05-08 00:00:00,05004003,MAGIO PF Sakaguchi ao Leite 41% 60g,772,789,17,-98.97739999999999,LEVANTAR LOTES PARA AJUSTE,,Erro de lote (necessita ajuste)
Movimentados - Geral 08.05.xlsm,Geral,Produto Acabado,2026-05-08 00:00:00,05004014,MAGIO Língua de Onça Intso Praliné Cx80g,1144,1146,2,-14.1,LEVANTAR LOTES PARA AJUSTE,,Erro de lote (necessita ajuste)
Movimentados - Geral 08.05.xlsm,Geral,Produto Acabado,2026-05-08 00:00:00,05104020,Trufas Nativas de Chocolate Intenso  20G,40,0,-40,36.876000000000005,VERIFICAR TRANSF. REALIZADA,,Outros / não categorizado
Movimentados - Geral 08.05.xlsm,Geral,Produto Acabado,2026-05-08 00:00:00,05104022,Trufas Nativas Pistache 20g,40,0,-40,41.264,VERIFICAR TRANSF. REALIZADA,,Outros / não categorizado
